phase,format,item,trial,duration_ms,status
LOAD,parquet,call_center,0,9578,OK
LOAD,parquet,catalog_page,0,3134,OK
LOAD,parquet,catalog_returns,0,13146,OK
LOAD,parquet,catalog_sales,0,85494,OK
LOAD,parquet,customer,0,5097,OK
LOAD,parquet,customer_address,0,5106,OK
LOAD,parquet,customer_demographics,0,3078,OK
LOAD,parquet,date_dim,0,3029,OK
LOAD,parquet,household_demographics,0,3005,OK
LOAD,parquet,income_band,0,2942,OK
LOAD,parquet,inventory,0,31157,OK
LOAD,parquet,item,0,4966,OK
LOAD,parquet,promotion,0,2944,OK
LOAD,parquet,reason,0,2939,OK
LOAD,parquet,ship_mode,0,2942,OK
LOAD,parquet,store,0,2956,OK
LOAD,parquet,store_returns,0,12985,OK
LOAD,parquet,store_sales,0,113215,OK
LOAD,parquet,time_dim,0,2933,OK
LOAD,parquet,warehouse,0,2928,OK
LOAD,parquet,web_page,0,2929,OK
LOAD,parquet,web_returns,0,6983,OK
LOAD,parquet,web_sales,0,43033,OK
LOAD,parquet,web_site,0,2935,OK
LOAD,orc,call_center,0,2935,OK
LOAD,orc,catalog_page,0,2930,OK
LOAD,orc,catalog_returns,0,8971,OK
LOAD,orc,catalog_sales,0,81109,OK
LOAD,orc,customer,0,4957,OK
LOAD,orc,customer_address,0,4947,OK
LOAD,orc,customer_demographics,0,2967,OK
LOAD,orc,date_dim,0,2928,OK
LOAD,orc,household_demographics,0,2923,OK
LOAD,orc,income_band,0,2930,OK
LOAD,orc,inventory,0,26973,OK
LOAD,orc,item,0,4924,OK
LOAD,orc,promotion,0,2926,OK
LOAD,orc,reason,0,2925,OK
LOAD,orc,ship_mode,0,2906,OK
LOAD,orc,store,0,2915,OK
LOAD,orc,store_returns,0,12950,OK
LOAD,orc,store_sales,0,111143,OK
LOAD,orc,time_dim,0,2953,OK
LOAD,orc,warehouse,0,2924,OK
LOAD,orc,web_page,0,2918,OK
LOAD,orc,web_returns,0,6956,OK
LOAD,orc,web_sales,0,43099,OK
LOAD,orc,web_site,0,2917,OK
LOAD,vortex,call_center,0,2928,OK
LOAD,vortex,catalog_page,0,2911,OK
LOAD,vortex,catalog_returns,0,8934,OK
LOAD,vortex,catalog_sales,0,85088,OK
LOAD,vortex,customer,0,4949,OK
LOAD,vortex,customer_address,0,2921,OK
LOAD,vortex,customer_demographics,0,2936,OK
LOAD,vortex,date_dim,0,2904,OK
LOAD,vortex,household_demographics,0,2930,OK
LOAD,vortex,income_band,0,2917,OK
LOAD,vortex,inventory,0,26948,OK
LOAD,vortex,item,0,4903,OK
LOAD,vortex,promotion,0,2900,OK
LOAD,vortex,reason,0,2894,OK
LOAD,vortex,ship_mode,0,2915,OK
LOAD,vortex,store,0,2909,OK
LOAD,vortex,store_returns,0,12948,OK
LOAD,vortex,store_sales,0,113108,OK
LOAD,vortex,time_dim,0,2906,OK
LOAD,vortex,warehouse,0,2908,OK
LOAD,vortex,web_page,0,2897,OK
LOAD,vortex,web_returns,0,6927,OK
LOAD,vortex,web_sales,0,42993,OK
LOAD,vortex,web_site,0,2917,OK
