phase,format,item,trial,duration_ms,status
QUERY,vortex,q1,1,18553,OK
QUERY,vortex,q2,1,16989,OK
QUERY,vortex,q3,1,10631,OK
QUERY,vortex,q4,1,52091,OK
QUERY,vortex,q5,1,18579,OK
QUERY,vortex,q6,1,9380,OK
QUERY,vortex,q7,1,17111,OK
QUERY,vortex,q8,1,65916,OK
QUERY,vortex,q9,1,18202,OK
QUERY,vortex,q10,1,6908,OK
QUERY,vortex,q11,1,20672,OK
QUERY,vortex,q12,1,7457,OK
QUERY,vortex,q13,1,11317,OK
QUERY,vortex,q14a,1,29322,OK
QUERY,vortex,q14b,1,39163,OK
QUERY,vortex,q15,1,8461,OK
QUERY,vortex,q16,1,13995,OK
QUERY,vortex,q17,1,14069,OK
QUERY,vortex,q18,1,16748,OK
QUERY,vortex,q19,1,12105,OK
QUERY,vortex,q20,1,9016,OK
QUERY,vortex,q21,1,28149,OK
QUERY,vortex,q22,1,35151,OK
QUERY,vortex,q23a,1,27769,OK
QUERY,vortex,q23b,1,28706,OK
QUERY,vortex,q24a,1,13338,OK
QUERY,vortex,q24b,1,14156,OK
QUERY,vortex,q25,1,14336,OK
QUERY,vortex,q26,1,12865,OK
QUERY,vortex,q27,1,15648,OK
QUERY,vortex,q28,1,16202,OK
QUERY,vortex,q29,1,13305,OK
QUERY,vortex,q30,1,10030,OK
QUERY,vortex,q31,1,13098,OK
QUERY,vortex,q32,1,7078,OK
QUERY,vortex,q33,1,11334,OK
QUERY,vortex,q34,1,9959,OK
QUERY,vortex,q35,1,7199,OK
QUERY,vortex,q36,1,14741,OK
QUERY,vortex,q37,1,14067,OK
QUERY,vortex,q38,1,10449,OK
QUERY,vortex,q39a,1,30945,OK
QUERY,vortex,q39b,1,30308,OK
QUERY,vortex,q40,1,10694,OK
QUERY,vortex,q41,1,2802,OK
QUERY,vortex,q42,1,8634,OK
QUERY,vortex,q43,1,13087,OK
QUERY,vortex,q44,1,4492,OK
QUERY,vortex,q45,1,8127,OK
QUERY,vortex,q46,1,14743,OK
QUERY,vortex,q47,1,21429,OK
QUERY,vortex,q48,1,11444,OK
QUERY,vortex,q49,1,8501,OK
QUERY,vortex,q50,1,11238,OK
QUERY,vortex,q51,1,2984,OK
QUERY,vortex,q52,1,9166,OK
QUERY,vortex,q53,1,10844,OK
QUERY,vortex,q54,1,11240,OK
QUERY,vortex,q55,1,9097,OK
QUERY,vortex,q56,1,11336,OK
QUERY,vortex,q57,1,17871,OK
QUERY,vortex,q58,1,18513,OK
QUERY,vortex,q59,1,17788,OK
QUERY,vortex,q60,1,11516,OK
QUERY,vortex,q61,1,19952,OK
QUERY,vortex,q62,1,11060,OK
QUERY,vortex,q63,1,10679,OK
QUERY,vortex,q64,1,25052,OK
QUERY,vortex,q65,1,11878,OK
QUERY,vortex,q66,1,16585,OK
QUERY,vortex,q67,1,28804,OK
QUERY,vortex,q68,1,15157,OK
QUERY,vortex,q69,1,8813,OK
QUERY,vortex,q70,1,15417,OK
QUERY,vortex,q71,1,11010,OK
QUERY,vortex,q72,1,37885,OK
QUERY,vortex,q73,1,8577,OK
QUERY,vortex,q74,1,14990,OK
QUERY,vortex,q75,1,26544,OK
QUERY,vortex,q76,1,5110,OK
QUERY,vortex,q77,1,13331,OK
QUERY,vortex,q78,1,26049,OK
QUERY,vortex,q79,1,14900,OK
QUERY,vortex,q80,1,17549,OK
QUERY,vortex,q81,1,7394,OK
QUERY,vortex,q82,1,13663,OK
QUERY,vortex,q83,1,8808,OK
QUERY,vortex,q84,1,7052,OK
QUERY,vortex,q85,1,9081,OK
QUERY,vortex,q86,1,7519,OK
QUERY,vortex,q87,1,10527,OK
QUERY,vortex,q88,1,104952,OK
QUERY,vortex,q89,1,13076,OK
QUERY,vortex,q90,1,24732,OK
QUERY,vortex,q91,1,6700,OK
QUERY,vortex,q92,1,5742,OK
QUERY,vortex,q93,1,16884,OK
QUERY,vortex,q94,1,9971,OK
QUERY,vortex,q95,1,17012,OK
QUERY,vortex,q96,1,37074,OK
QUERY,vortex,q97,1,10929,OK
QUERY,vortex,q98,1,10447,OK
QUERY,vortex,q99,1,13746,OK
QUERY,orc,q1,1,10131,OK
QUERY,orc,q2,1,14727,OK
QUERY,orc,q3,1,13996,OK
QUERY,orc,q4,1,49077,OK
QUERY,orc,q5,1,24223,OK
QUERY,orc,q6,1,11682,OK
QUERY,orc,q7,1,27265,OK
QUERY,orc,q8,1,66199,OK
QUERY,orc,q9,1,24034,OK
QUERY,orc,q10,1,12970,OK
QUERY,orc,q11,1,26724,OK
QUERY,orc,q12,1,7894,OK
QUERY,orc,q13,1,17262,OK
QUERY,orc,q14a,1,38850,OK
QUERY,orc,q14b,1,57097,OK
QUERY,orc,q15,1,9558,OK
QUERY,orc,q16,1,18448,OK
QUERY,orc,q17,1,20111,OK
QUERY,orc,q18,1,22989,OK
QUERY,orc,q19,1,20475,OK
QUERY,orc,q20,1,10105,OK
QUERY,orc,q21,1,56031,OK
QUERY,orc,q22,1,65535,OK
QUERY,orc,q23a,1,41874,OK
QUERY,orc,q23b,1,40144,OK
QUERY,orc,q24a,1,15717,OK
QUERY,orc,q24b,1,16405,OK
QUERY,orc,q25,1,23112,OK
QUERY,orc,q26,1,17183,OK
QUERY,orc,q27,1,27271,OK
QUERY,orc,q28,1,17544,OK
QUERY,orc,q29,1,22099,OK
QUERY,orc,q30,1,10506,OK
QUERY,orc,q31,1,15800,OK
QUERY,orc,q32,1,14036,OK
QUERY,orc,q33,1,17711,OK
QUERY,orc,q34,1,16353,OK
QUERY,orc,q35,1,14536,OK
QUERY,orc,q36,1,21244,OK
QUERY,orc,q37,1,23568,OK
QUERY,orc,q38,1,14200,OK
QUERY,orc,q39a,1,56836,OK
QUERY,orc,q39b,1,59064,OK
QUERY,orc,q40,1,12826,OK
QUERY,orc,q41,1,2281,OK
QUERY,orc,q42,1,13968,OK
QUERY,orc,q43,1,14267,OK
QUERY,orc,q44,1,7270,OK
QUERY,orc,q45,1,9389,OK
QUERY,orc,q46,1,27765,OK
QUERY,orc,q47,1,30033,OK
QUERY,orc,q48,1,16472,OK
QUERY,orc,q49,1,14287,OK
QUERY,orc,q50,1,17525,OK
QUERY,orc,q51,1,16670,OK
QUERY,orc,q52,1,13911,OK
QUERY,orc,q53,1,17167,OK
QUERY,orc,q54,1,14585,OK
QUERY,orc,q55,1,16175,OK
QUERY,orc,q56,1,16339,OK
QUERY,orc,q57,1,21459,OK
QUERY,orc,q58,1,22944,OK
QUERY,orc,q59,1,20442,OK
QUERY,orc,q60,1,17445,OK
QUERY,orc,q61,1,25831,OK
QUERY,orc,q62,1,13594,OK
QUERY,orc,q63,1,16379,OK
QUERY,orc,q64,1,35056,OK
QUERY,orc,q65,1,18391,OK
QUERY,orc,q66,1,19966,OK
QUERY,orc,q67,1,35424,OK
QUERY,orc,q68,1,27884,OK
QUERY,orc,q69,1,10495,OK
QUERY,orc,q70,1,19222,OK
QUERY,orc,q71,1,16118,OK
QUERY,orc,q72,1,62711,OK
QUERY,orc,q73,1,14978,OK
QUERY,orc,q74,1,20853,OK
QUERY,orc,q75,1,27924,OK
QUERY,orc,q76,1,9019,OK
QUERY,orc,q77,1,25158,OK
QUERY,orc,q78,1,31700,OK
QUERY,orc,q79,1,23091,OK
QUERY,orc,q80,1,27847,OK
QUERY,orc,q81,1,8423,OK
QUERY,orc,q82,1,23857,OK
QUERY,orc,q83,1,7159,OK
QUERY,orc,q84,1,7345,OK
QUERY,orc,q85,1,10961,OK
QUERY,orc,q86,1,10299,OK
QUERY,orc,q87,1,14671,OK
QUERY,orc,q88,1,180491,OK
QUERY,orc,q89,1,15747,OK
QUERY,orc,q90,1,42642,OK
QUERY,orc,q91,1,5873,OK
QUERY,orc,q92,1,8822,OK
QUERY,orc,q93,1,25725,OK
QUERY,orc,q94,1,12709,OK
QUERY,orc,q95,1,21837,OK
QUERY,orc,q96,1,61309,OK
QUERY,orc,q97,1,13806,OK
QUERY,orc,q98,1,17179,OK
QUERY,orc,q99,1,13589,OK
QUERY,parquet,q1,1,9743,OK
QUERY,parquet,q2,1,14543,OK
QUERY,parquet,q3,1,14094,OK
QUERY,parquet,q4,1,47655,OK
QUERY,parquet,q5,1,24724,OK
QUERY,parquet,q6,1,10909,OK
QUERY,parquet,q7,1,24159,OK
QUERY,parquet,q8,1,79313,OK
QUERY,parquet,q9,1,31221,OK
QUERY,parquet,q10,1,12029,OK
QUERY,parquet,q11,1,25186,OK
QUERY,parquet,q12,1,6807,OK
QUERY,parquet,q13,1,13384,OK
QUERY,parquet,q14a,1,37409,OK
QUERY,parquet,q14b,1,57390,OK
QUERY,parquet,q15,1,8767,OK
QUERY,parquet,q16,1,20189,OK
QUERY,parquet,q17,1,21217,OK
QUERY,parquet,q18,1,17645,OK
QUERY,parquet,q19,1,19283,OK
QUERY,parquet,q20,1,9437,OK
QUERY,parquet,q21,1,40243,OK
QUERY,parquet,q22,1,46404,OK
QUERY,parquet,q23a,1,35673,OK
QUERY,parquet,q23b,1,36195,OK
QUERY,parquet,q24a,1,13540,OK
QUERY,parquet,q24b,1,14742,OK
QUERY,parquet,q25,1,24281,OK
QUERY,parquet,q26,1,14058,OK
QUERY,parquet,q27,1,23897,OK
QUERY,parquet,q28,1,12100,OK
QUERY,parquet,q29,1,19570,OK
